Date,Open,High,Low,Close,Adj Close,Volume
11-05-2007,312.5,314.75,302.5,313.137512,230.347504,3867656
14-05-2007,319.625,319.625,311.524994,312.5625,229.924622,1260376
15-05-2007,315,315,306.25,309.512512,227.680939,4203120
16-05-2007,316.25,316.25,302.637512,306.049988,225.13385,6523616
17-05-2007,308.274994,313.424988,307.5,312.5,229.87851,2931260
18-05-2007,314.987488,319,312.5,313.212494,230.402649,2921004
21-05-2007,317.5,317.5,307.5,309.262512,227.496948,2856844
22-05-2007,309.375,311,305.262512,307.662506,226.319962,6160224
23-05-2007,310.375,310.375,306.274994,308.350006,226.825806,1271812
24-05-2007,312.5,312.5,305.25,306.1875,225.235046,4552804
25-05-2007,305.237488,308.75,302,307.487488,226.191345,5244168
28-05-2007,312.5,312.5,305.887512,306.375,225.372879,2585172
29-05-2007,306.225006,308.75,305,307.787506,226.412109,2967280
30-05-2007,312.5,312.5,302.549988,303.912506,223.561401,2600056
31-05-2007,307.25,307.25,300,302.087494,222.218994,5176492
01-06-2007,307.274994,307.274994,302.787506,304.674988,224.122391,1728988
04-06-2007,307,312.5,300.5,302.024994,222.172989,1853384
05-06-2007,304.450012,304.450012,300,302.012512,222.163757,1751600
06-06-2007,303.75,304.25,294.549988,300.087494,220.747772,3832020
07-06-2007,300,303.600006,291.325012,301.75,221.970764,2008940
08-06-2007,301.625,307.625,297.5,305.024994,224.379822,6019076
11-06-2007,309.137512,309.850006,304.512512,305.337494,224.609756,2648136
12-06-2007,302.5,307.5,300,304.337494,223.8741,1402072
13-06-2007,304.75,305,298.325012,300.8125,221.281052,1768488
14-06-2007,302.5,305,300.325012,301.137512,221.520233,4176068
15-06-2007,305,305,295,296.100006,218.540253,4983152
18-06-2007,298.25,298.75,290,290.649994,214.517792,2874456
19-06-2007,291.274994,291.375,285.825012,290,214.038071,3495436
20-06-2007,290.25,293.25,285.25,286.75,211.639404,4024968
21-06-2007,286.25,287.700012,282.5,286.399994,211.381012,3043728
22-06-2007,286.25,288.75,283.625,284.987488,210.338547,2677304
25-06-2007,284.987488,287.5,279.6875,281.4375,207.71846,2803776
26-06-2007,282.75,285,279.462494,280.4375,206.980377,2832744
27-06-2007,282.475006,284.674988,281,283.287506,209.083817,2956696
28-06-2007,285.987488,285.987488,281.25,284.212494,209.766586,4342792
29-06-2007,285.25,289,285.012512,287.337494,212.072998,3004456
02-07-2007,288.25,288.25,282.75,283.612488,209.323639,1477152
03-07-2007,287.5,287.5,281,281.899994,208.059799,1829368
04-07-2007,282,285,279,279.412506,206.223801,2415464
05-07-2007,282.049988,282.049988,275.200012,277.912506,205.116699,3179204
06-07-2007,278.75,291.225006,275.024994,289.662506,213.788971,7605684
09-07-2007,292.100006,295.600006,291.25,294.1875,217.128738,5359768
10-07-2007,296.25,300,292,295.787506,218.309555,7492968
11-07-2007,295.5,296.25,275,287.225006,211.98999,6062124
12-07-2007,288.75,292.25,283.5,290.637512,214.508621,5763944
13-07-2007,309.024994,315.375,282.5625,284,209.609665,5784648
16-07-2007,283.75,284.5,278.5,282.075012,208.188934,3990240
17-07-2007,293.950012,293.950012,287.5,288.9375,213.253906,6164688
18-07-2007,289.25,292.5,286.837494,291.662506,215.265152,4371180
19-07-2007,291.75,296.25,291.375,295.549988,218.134201,4075512
20-07-2007,297.25,297.487488,291.850006,293.975006,216.971863,3744932
23-07-2007,292.450012,298.75,290.524994,297.737488,219.748764,4716456
24-07-2007,297.475006,298,291.75,292.975006,216.233917,3127176
25-07-2007,292,292.75,286.25,287.049988,211.860687,2670172
26-07-2007,288.75,302.5,286.274994,297.274994,219.407364,6002804
